Student_ID,GPA,Learning_Style,Available_Hours_Per_Day,Free_Days_Per_Week,Subject_Count,Exam_Priority,Weak_Subjects_Count,Recommended_Hours_Per_Subject
1,5.63,Kinesthetic,3,7,4,Low,1,0.66
2,6.7,Auditory,7,4,4,Low,1,0.88
3,9.19,Auditory,2,7,7,Low,2,0.27
4,5.44,Auditory,8,6,8,Medium,3,1.11
5,7.45,Auditory,2,5,6,High,0,0.29
6,7.21,Kinesthetic,6,3,5,High,1,0.68
7,7.23,Kinesthetic,3,4,8,Low,1,0.19
8,6.6,Kinesthetic,7,4,7,High,2,0.82
9,6.28,Reading,4,3,8,Low,0,0.17
10,9.58,Kinesthetic,8,4,4,Medium,2,1.37
11,8.9,Auditory,8,5,8,High,3,1.11
12,9.16,Reading,6,4,8,Low,3,0.45
13,5.54,Auditory,8,4,5,Low,2,0.88
14,8.21,Visual,8,3,6,High,1,0.75
15,5.64,Visual,8,5,7,High,3,1.27
16,8.96,Visual,6,5,6,High,2,1.03
17,9.16,Auditory,3,4,5,Medium,0,0.34
18,9.6,Kinesthetic,8,3,4,Medium,2,1.03
19,6.68,Reading,8,3,4,Low,3,0.89
20,6.45,Reading,5,3,6,High,1,0.47
21,7.96,Auditory,5,4,4,Medium,3,0.93
22,7.44,Auditory,2,6,6,High,3,0.45
23,5.73,Auditory,2,7,7,Medium,1,0.31
24,5.7,Visual,4,5,6,Medium,1,0.52
25,8.99,Kinesthetic,3,3,5,Medium,1,0.28
26,6.65,Visual,7,6,5,Low,1,1.06
27,5.05,Visual,6,3,6,Medium,3,0.56
28,7.07,Auditory,5,5,5,High,1,0.94
29,6.87,Kinesthetic,7,6,5,Low,3,1.25
30,5.26,Reading,8,4,8,High,0,0.69
31,7.39,Auditory,7,4,5,High,3,1.25
32,5.54,Kinesthetic,7,4,5,Low,0,0.64
33,7.03,Kinesthetic,7,5,6,Low,1,0.73
34,5.95,Kinesthetic,6,5,8,Low,2,0.51
35,9.94,Kinesthetic,7,6,6,High,1,1.32
36,5.46,Kinesthetic,3,6,5,Medium,1,0.57
37,9.45,Kinesthetic,8,4,6,High,0,0.91
38,8.65,Kinesthetic,8,7,4,Low,2,1.92
39,8.2,Visual,2,3,5,Medium,3,0.22
40,8.36,Kinesthetic,7,5,8,High,2,0.9
41,9.39,Reading,8,7,8,High,1,1.32
42,7.47,Visual,2,7,8,Medium,0,0.25
43,9.02,Reading,2,6,4,High,0,0.51
44,9.93,Reading,2,4,8,Medium,0,0.14
45,8.45,Reading,6,3,8,Medium,2,0.39
46,5.28,Kinesthetic,7,3,8,High,1,0.49
47,5.78,Reading,5,7,6,Medium,3,1.08
48,6.65,Reading,7,7,5,Medium,1,1.54
49,8.36,Kinesthetic,8,4,5,Medium,1,1.01
50,8.53,Visual,2,7,6,Low,3,0.35
51,9.32,Reading,2,7,4,Medium,0,0.5
52,7.28,Auditory,8,3,8,Medium,0,0.43
53,7.62,Auditory,6,7,4,Medium,3,1.95
54,8.49,Kinesthetic,8,5,6,Low,1,0.84
55,7.83,Kinesthetic,4,6,8,High,3,0.67
56,8.88,Auditory,5,5,5,Low,0,0.57
57,9.67,Kinesthetic,6,4,6,High,2,0.82
58,5.38,Kinesthetic,2,6,8,Low,2,0.21
59,5.9,Kinesthetic,3,4,8,Medium,3,0.28
60,5.52,Kinesthetic,3,6,4,Medium,2,0.77
61,5.88,Auditory,8,4,7,Medium,0,0.65
62,7.27,Auditory,6,4,5,Medium,1,0.75
63,8.37,Kinesthetic,6,6,5,Medium,0,1.03
64,9.15,Reading,6,5,8,Low,2,0.51
65,5.58,Reading,8,7,7,Low,1,1.01
66,7.01,Reading,3,6,8,High,0,0.39
67,5.14,Kinesthetic,2,4,6,Medium,3,0.25
68,8.61,Auditory,5,4,4,Medium,1,0.79
69,5.72,Auditory,4,7,8,Medium,1,0.55
70,8.23,Visual,7,4,8,Low,2,0.48
71,6.79,Auditory,3,7,7,Low,2,0.41
72,6.03,Visual,5,5,6,Low,1,0.52
73,9.78,Auditory,6,3,6,Low,1,0.38
74,8.46,Visual,5,5,8,Medium,0,0.45
75,6.0,Kinesthetic,6,3,5,Low,1,0.45
76,9.48,Auditory,3,6,6,High,0,0.51
77,6.97,Kinesthetic,6,5,4,Medium,1,1.18
78,6.71,Auditory,4,6,7,High,0,0.59
79,9.75,Kinesthetic,4,7,6,Medium,2,0.8
80,5.59,Reading,5,7,8,Low,3,0.65
81,5.78,Reading,4,5,7,Low,1,0.36
82,6.04,Visual,4,5,7,Low,1,0.36
83,6.18,Kinesthetic,4,6,8,Medium,1,0.47
84,5.32,Kinesthetic,6,7,6,Low,3,1.04
85,7.44,Kinesthetic,3,3,7,High,3,0.29
86,7.04,Reading,2,6,8,High,2,0.31
87,8.71,Kinesthetic,8,4,4,Low,1,1.01
88,5.91,Visual,8,7,7,High,3,1.78
89,8.78,Reading,2,6,8,High,1,0.28
90,6.99,Visual,2,3,6,High,2,0.21
91,7.79,Reading,7,4,6,High,3,1.04
92,8.95,Auditory,3,7,4,High,0,0.9
93,5.87,Visual,6,4,5,High,0,0.82
94,6.63,Auditory,6,6,5,High,2,1.48
95,8.29,Kinesthetic,3,4,6,High,2,0.41
96,6.06,Kinesthetic,6,5,7,Low,1,0.54
97,9.8,Auditory,2,5,7,Medium,1,0.22
98,5.43,Kinesthetic,8,6,6,High,3,1.78
99,5.08,Kinesthetic,6,5,6,Low,1,0.63
100,7.13,Visual,7,6,5,Low,1,1.06
101,7.3,Visual,7,6,8,Low,2,0.72
102,9.33,Reading,2,3,6,High,0,0.17
103,5.13,Visual,7,4,8,Low,1,0.44
104,9.42,Reading,5,6,4,Medium,1,1.18
105,7.14,Auditory,5,4,5,High,0,0.69
106,9.78,Visual,5,6,4,Low,1,0.94
107,8.0,Auditory,5,4,7,Medium,2,0.49
108,5.26,Visual,8,5,4,High,2,2.06
109,7.0,Kinesthetic,5,3,8,Medium,2,0.32
110,5.72,Kinesthetic,5,3,8,Medium,1,0.29
111,7.75,Reading,2,4,7,High,3,0.25
112,6.16,Reading,3,4,6,Low,3,0.3
113,8.17,Kinesthetic,2,5,5,High,0,0.34
114,5.21,Visual,4,3,7,Low,2,0.24
